📊 Circuit Breaker 실시간 메트릭 수집 시작
🔗 Target: T1 localhost:8080/api/circuit-breaker/status
📈 실시간 메트릭 수집 시작 (5초 간격)
[2025-08-20 21:13:51] State: CLOSED | Failures: 0 | Requests: 160 | Success: 100.00% | Avg: 4.03ms
[2025-08-20 21:13:56] State: CLOSED | Failures: 0 | Requests: 161 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:01] State: CLOSED | Failures: 0 | Requests: 161 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:06] State: CLOSED | Failures: 0 | Requests: 161 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:11] State: CLOSED | Failures: 0 | Requests: 162 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:16] State: CLOSED | Failures: 0 | Requests: 162 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:21] State: CLOSED | Failures: 0 | Requests: 162 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:26] State: CLOSED | Failures: 0 | Requests: 163 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:31] State: CLOSED | Failures: 0 | Requests: 163 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:36] State: CLOSED | Failures: 0 | Requests: 163 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:41] State: CLOSED | Failures: 0 | Requests: 164 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:46] State: CLOSED | Failures: 0 | Requests: 164 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:51] State: CLOSED | Failures: 0 | Requests: 164 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:14:56] State: CLOSED | Failures: 0 | Requests: 165 | Success: 100.00% | Avg: 4.03ms
[2025-08-20 21:15:01] State: CLOSED | Failures: 0 | Requests: 165 | Success: 100.00% | Avg: 4.03ms
[2025-08-20 21:15:06] State: CLOSED | Failures: 0 | Requests: 165 | Success: 100.00% | Avg: 4.03ms
[2025-08-20 21:15:11] State: CLOSED | Failures: 0 | Requests: 166 | Success: 100.00% | Avg: 4.02ms
[2025-08-20 21:15:16] State: CLOSED | Failures: 0 | Requests: 166 | Success: 100.00% | Avg: 4.02ms
[2025-08-20 21:15:21] State: CLOSED | Failures: 0 | Requests: 166 | Success: 100.00% | Avg: 4.02ms
[2025-08-20 21:15:27] State: CLOSED | Failures: 0 | Requests: 167 | Success: 100.00% | Avg: 4.01ms
[2025-08-20 21:15:32] State: CLOSED | Failures: 0 | Requests: 167 | Success: 100.00% | Avg: 4.01ms
[2025-08-20 21:15:37] State: CLOSED | Failures: 0 | Requests: 167 | Success: 100.00% | Avg: 4.01ms
[2025-08-20 21:15:42] State: CLOSED | Failures: 0 | Requests: 168 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:15:47] State: CLOSED | Failures: 0 | Requests: 168 | Success: 100.00% | Avg: 3.99ms
